date,from,to,movers,fr_pat,to_pat,fr_users,to_users
1,1,2,32279,1,2,575470,2540707
1,1,3,0,1,3,575470,1825332
1,2,1,31471,2,1,2540707,575470
1,2,3,25005,2,3,2540707,1825332
1,3,1,0,3,1,1825332,575470
1,3,2,25413,3,2,1825332,2540707
