date,from,to,movers,fr_pat,to_pat,fr_users,to_users
36,1,2,15969,1,2,575470,2540707
36,1,3,1294.5,1,3,575470,1825332
36,2,1,19055.25,2,1,2540707,575470
36,2,3,19055.25,2,3,2540707,1825332
36,3,1,1368.75,3,1,1825332,575470
36,3,2,12320.25,3,2,1825332,2540707
42,1,2,159.69,1,2,5754.7,25407.07
42,1,3,12.945,1,3,5754.7,18253.32
42,2,1,190.5525,2,1,25407.07,5754.7
42,2,3,190.5525,2,3,25407.07,18253.32
42,3,1,13.6875,3,1,18253.32,5754.7
42,3,2,123.2025,3,2,18253.32,25407.07
